building_name,num_tiles,coating_deterioration_mean,cracks_mean,masonry_degradation_mean,moisture_bio_damage_mean,vandalism_mean,coating_deterioration_max,cracks_max,masonry_degradation_max,moisture_bio_damage_max,vandalism_max,coating_deterioration_prevalence,cracks_prevalence,masonry_degradation_prevalence,moisture_bio_damage_prevalence,vandalism_prevalence
62,12,0.051457942708333336,2.1875e-05,0.000160546875,0.04140872395833334,0.0005993489583333334,0.15758125,0.0002625,0.001159375,0.1797796875,0.0071875,0.5833333333333334,0.0,0.0,0.4166666666666667,0.0
DSC02333,24,0.0019409505208333334,0.0005440755208333334,0.00033359374999999996,0.0037257812499999995,0.00017636718749999998,0.0202,0.0050796875,0.0024015625,0.0493890625,0.0042328125,0.08333333333333333,0.0,0.0,0.125,0.0
DSC02315,24,0.013889518229166667,0.00136171875,0.006507877604166667,0.024011458333333333,0.0,0.1147234375,0.009678125,0.100640625,0.122375,0.0,0.20833333333333334,0.0,0.125,0.5833333333333334,0.0
44,9,0.12360503472222223,0.0006713541666666667,5.815972222222222e-05,0.09290121527777778,3.107638888888889e-05,0.388103125,0.002525,0.0003578125,0.248684375,0.0002796875,0.5555555555555556,0.0,0.0,0.6666666666666666,0.0
DSC02438,24,0.004372005208333333,0.0004310546875,7.194010416666667e-05,0.019199674479166668,0.00015846354166666667,0.026165625,0.0029203125,0.0013859375,0.0707515625,0.001909375,0.125,0.0,0.0,0.4583333333333333,0.0
31,12,0.152864453125,0.00041692708333333333,0.002742708333333333,0.008461848958333332,0.0009555989583333334,0.3718265625,0.003778125,0.0091625,0.0846734375,0.006159375,0.75,0.0,0.0,0.08333333333333333,0.0
DSC02216,24,0.020127669270833332,0.00033750000000000007,0.005698372395833332,0.20685319010416667,0.0043371744791666665,0.1709078125,0.004571875,0.0566671875,0.779946875,0.05441875,0.3333333333333333,0.0,0.125,0.6666666666666666,0.08333333333333333
DSC02278,24,0.015075911458333332,0.0032703776041666673,2.0963541666666665e-05,0.0083669921875,0.0014738932291666668,0.2523125,0.04424375,0.0003921875,0.0795171875,0.0117734375,0.125,0.08333333333333333,0.0,0.125,0.08333333333333333
DSC02253,24,0.0031765625,0.00046777343749999993,7.578125e-05,0.00038496093750000005,0.0001988932291666667,0.0196546875,0.00406875,0.000628125,0.0067875,0.00190625,0.20833333333333334,0.0,0.0,0.0,0.0
66,9,0.03310260416666667,0.0003142361111111111,0.0024855902777777775,0.025316145833333335,0.002008159722222222,0.115940625,0.0018375,0.020709375,0.103496875,0.00900625,0.7777777777777778,0.0,0.1111111111111111,0.5555555555555556,0.0
