building_name,num_tiles,coating_deterioration_mean,cracks_mean,masonry_degradation_mean,moisture_bio_damage_mean,vandalism_mean,coating_deterioration_max,cracks_max,masonry_degradation_max,moisture_bio_damage_max,vandalism_max,coating_deterioration_prevalence,cracks_prevalence,masonry_degradation_prevalence,moisture_bio_damage_prevalence,vandalism_prevalence
DSC02140,24,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.03,0.01,0.12,0.0,0.0,0.17,0.04
52,12,0.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
21,12,0.07,0.0,0.0,0.03,0.0,0.26,0.0,0.01,0.11,0.0,0.67,0.0,0.08,0.5,0.0
DSC02489,24,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.29,0.0,0.0,0.0,0.0
IMG_20260410_135300163_HDR,24,0.15,0.0,0.0,0.02,0.0,0.35,0.0,0.0,0.34,0.0,0.79,0.0,0.0,0.17,0.0
IMG_20260413_114049,30,0.01,0.0,0.0,0.0,0.0,0.1,0.02,0.01,0.01,0.01,0.27,0.1,0.03,0.0,0.0
IMG_20260410_140113603_HDR,30,0.21,0.0,0.0,0.01,0.0,0.5,0.0,0.05,0.07,0.04,0.87,0.0,0.07,0.43,0.03
79,12,0.06,0.0,0.01,0.0,0.0,0.16,0.01,0.05,0.01,0.0,0.5,0.0,0.08,0.0,0.0
11,12,0.03,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.1,0.0,0.67,0.0,0.0,0.42,0.0
29,12,0.04,0.01,0.0,0.01,0.0,0.14,0.07,0.0,0.05,0.01,0.75,0.25,0.0,0.25,0.0
DSC02304,24,0.01,0.0,0.0,0.03,0.0,0.1,0.02,0.0,0.15,0.0,0.12,0.04,0.0,0.46,0.0
DSC02255,24,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.08,0.08,0.0,0.04,0.04
DSC02396,24,0.02,0.0,0.0,0.01,0.0,0.11,0.0,0.01,0.07,0.03,0.33,0.0,0.0,0.21,0.12
15,12,0.01,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.09,0.0,0.67,0.0,0.0,0.5,0.0
DSC02560,24,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.02,0.01,0.0,0.12,0.04,0.04,0.0,0.0
DSC02388,24,0.01,0.0,0.0,0.01,0.0,0.1,0.01,0.0,0.09,0.07,0.08,0.0,0.0,0.17,0.04
IMG_20260319_121325656_HDR,20,0.01,0.0,0.03,0.0,0.0,0.06,0.02,0.26,0.0,0.0,0.4,0.05,0.3,0.0,0.0
16,12,0.0,0.0,0.0,0.08,0.0,0.02,0.01,0.0,0.24,0.0,0.08,0.0,0.0,0.5,0.0
DSC02137,42,0.01,0.01,0.0,0.0,0.0,0.07,0.05,0.02,0.11,0.03,0.24,0.26,0.07,0.02,0.07
DSC02555,30,0.01,0.0,0.0,0.02,0.0,0.08,0.01,0.01,0.08,0.02,0.33,0.0,0.0,0.37,0.1
DSC02536,24,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.04,0.0,0.04,0.0,0.04,0.12,0.0
DSC02432,24,0.01,0.0,0.0,0.01,0.0,0.04,0.01,0.01,0.06,0.02,0.25,0.0,0.0,0.21,0.04
IMG_20260318_080042286_HDR,20,0.13,0.01,0.01,0.02,0.0,0.46,0.04,0.06,0.35,0.0,0.75,0.2,0.2,0.2,0.0
2026-04-09 17-34-00,28,0.03,0.0,0.0,0.01,0.0,0.23,0.02,0.0,0.07,0.0,0.54,0.04,0.0,0.14,0.0
DSC02182,24,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.05,0.0,0.04,0.0,0.0,0.12,0.0
1000032464,30,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.07,0.0
IMG_20260410_135449132_HDR,25,0.05,0.0,0.0,0.1,0.0,0.3,0.01,0.0,0.46,0.03,0.6,0.0,0.0,0.64,0.04
