building_name,num_tiles,coating_deterioration_mean,cracks_mean,masonry_degradation_mean,moisture_bio_damage_mean,vandalism_mean,coating_deterioration_max,cracks_max,masonry_degradation_max,moisture_bio_damage_max,vandalism_max,coating_deterioration_prevalence,cracks_prevalence,masonry_degradation_prevalence,moisture_bio_damage_prevalence,vandalism_prevalence
63,12,0.02,0.0,0.0,0.08,0.0,0.11,0.02,0.01,0.34,0.0,0.58,0.08,0.0,0.5,0.0
18,12,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
DSC02332,24,0.0,0.0,0.0,0.09,0.0,0.01,0.0,0.0,0.33,0.01,0.0,0.0,0.0,0.67,0.04
54,12,0.01,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.03,0.0,0.17,0.0,0.0,0.17,0.0
59,12,0.03,0.0,0.0,0.0,0.0,0.12,0.02,0.0,0.02,0.0,0.42,0.17,0.0,0.08,0.0
7,12,0.02,0.01,0.0,0.01,0.0,0.08,0.03,0.0,0.02,0.0,0.33,0.33,0.0,0.33,0.0
49,12,0.01,0.12,0.0,0.0,0.0,0.04,0.39,0.0,0.0,0.0,0.42,0.5,0.0,0.0,0.0
5,12,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.01,0.42,0.0,0.0,0.08,0.08
55,12,0.02,0.0,0.0,0.05,0.0,0.13,0.01,0.0,0.21,0.0,0.33,0.0,0.0,0.25,0.0
50,12,0.02,0.0,0.0,0.01,0.0,0.16,0.0,0.0,0.07,0.0,0.5,0.0,0.0,0.17,0.0
38,12,0.15,0.0,0.0,0.07,0.0,0.46,0.0,0.0,0.32,0.0,0.67,0.0,0.0,0.67,0.0
42,12,0.02,0.0,0.0,0.11,0.0,0.09,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.75,0.0
4,12,0.07,0.0,0.01,0.0,0.0,0.22,0.0,0.05,0.02,0.0,0.58,0.0,0.17,0.17,0.0
