building_name,coating_deterioration_score,cracks_score,masonry_degradation_score,moisture_bio_damage_score,vandalism_score,Global_Damage_Index
DSC02210,0.6804267258739791,0.4608915227937496,0.9372573229574513,0.2618310669683901,0.006298906016556722,0.4693411089220253
32,0.950585698861771,0.0,0.12665507773788443,1.0,0.0,0.41544815531993107
14,0.6031819981791043,0.0,0.626630708495118,0.6188223308976883,0.0,0.36972700751438214
9,0.764592718448245,0.018104272104409763,0.4448503728494143,0.13009263398913093,0.4855293584990724,0.36863387117805446
DSC02216,0.4029880626415171,0.0,0.3811776030412815,0.8965225379313296,0.14998453450789956,0.36613454762440556
DSC02259,0.899126613167986,0.0,0.5911044140821731,0.009447963787072512,0.30872388237004345,0.361680574681455
DSC02315,0.5084786721677119,0.11753215163463326,0.9349727064481016,0.19239149457807248,0.006298906016556722,0.35193478616901525
36,0.5752219428076315,0.0814167836051128,0.0,0.9437103882893396,0.11851049700264034,0.34377192234094484
IMG_20260317_113335801_HDR,0.5855365719101466,0.0,1.0,0.12343072091880444,0.006298906016556722,0.34305323976910157
61,0.6275352925448201,0.018104272104409763,0.0,0.06763366432731645,1.0,0.34265464579530924
39,1.0,0.0,0.0,0.7086637732396982,0.0,0.3417327546479396
12,0.6575034099485885,0.0,0.12665507773788443,0.920701300666497,0.0,0.34097195767059396
DSC02223,0.44701921417184787,0.8747152624922802,0.0,0.31396854219733844,0.06241142563659872,0.339622888899613
DSC02312,0.5881330404556977,0.06786175651612861,0.6192569817880526,0.4164628046371256,0.0,0.33834291667940086
DSC02297,0.49535823921423955,0.3394677439518593,0.7117281042353744,0.07300973723005955,0.06241142563659872,0.33639505005362624
DSC02200,0.6696294578943272,0.6951994134114702,0.0,0.23599198461118714,0.0,0.3201641711833969
IMG_20260318_080042286_HDR,0.8176806257382581,0.21188286583707092,0.5039295403960814,0.03264658386849505,0.0,0.3132279231679811
28,0.6700349287041518,0.09948289561599052,0.0,0.7916232003014178,0.0,0.312228204924312
IMG_20260317_130000355_HDR,0.6162061402766543,0.30753921710471177,0.435179845011616,0.10881685126975284,0.06098014717513021,0.305744440167573
IMG_20260317_113448622_HDR,0.7252292196209965,0.0,0.061800399655581366,0.447706619038994,0.2653308494621659,0.3000134175555476
49,0.48312540826307543,1.0,0.0,0.0,0.0,0.2966250816526151
DSC02185,0.5000164151371256,0.018104272104409763,0.0,0.8475639347244098,0.11707985893421946,0.29655289618003294
IMG_20260317_130518147_HDR,0.7017503274566014,0.0,0.061800399655581366,0.5709229695762191,0.1107835144898533,0.28905144223565105
24,0.9721665273354341,0.3306710230042154,0.0,0.09858018789697688,0.0,0.28028354764732527
82,0.7566557458056786,0.0,0.4448503728494143,0.17355708862858746,0.0,0.2750126414567361
DSC02174,0.4743164026142375,0.018104272104409763,0.0,0.8686471280100697,0.006298906016556722,0.2734733417490548
41,0.8795623081375081,0.0,0.0,0.48584849784062917,0.0,0.27308216119562745
IMG_20260317_130539386_HDR,0.5085898551067999,0.10963886504858505,0.6967308660828879,0.03436804299329835,0.006298906016556722,0.2711253070496256
DSC02476,0.9144297516745132,0.0,0.12932960213149644,0.3107900522972022,0.0,0.2709098812206424
DSC02416,0.6925542968736779,0.1411883661814482,0.24947606128052247,0.25304608466445494,0.006298906016556722,0.26851274300333206
27,0.40551345533559646,0.0,0.0,0.18147274362754426,0.7368503292580855,0.2647673056442453
63,0.650954616376553,0.09948289561599052,0.061800399655581366,0.4823295373344552,0.0,0.25891348979651607
29,0.8083996425900041,0.35700336042934083,0.0,0.11227620076072826,0.006298906016556722,0.25679562195932604
78,0.7661223723088483,0.0,0.19188747908306664,0.32371150408526517,0.0,0.256344271095436
69,0.7935439434913135,0.0,0.25953040469189154,0.22746990216915314,0.0,0.2561088500704716
38,0.795121827393987,0.0,0.0,0.4632719721998681,0.0,0.251678759918771
67,0.6408295228779628,0.22425539824856877,0.0,0.370396864154903,0.0,0.2470963570562869
2026-04-02 17-26-12,0.21148974984684846,0.05995044338282908,0.6219274446412035,0.23789648012240128,0.09676018753270008,0.24560486110519647
DSC02368,0.3603007523886563,0.018104272104409763,0.06332753886894221,0.6977889663067842,0.06241142563659872,0.2403865910610782
25,0.8402837618755902,0.018104272104409763,0.13009317173817686,0.07195622717299346,0.13110126471222977,0.23830773952068002
IMG_20260317_113656168_HDR,0.838368944591297,0.24877805761846367,0.061800399655581366,0.03436804299329835,0.0,0.2366630889717281
DSC02422,0.51280972994561,0.018104272104409763,0.31316913879096064,0.012030343535223614,0.32712685737998554,0.23664806835123792
DSC02309,0.543374376817088,0.018104272104409763,0.061800399655581366,0.479980251940606,0.07500667609752161,0.23565319532304135
IMG_20260318_131235096_HDR,0.7754954156075801,0.018104272104409763,0.0,0.37843938362210283,0.0,0.23440781426681853
IMG_20260320_154755,0.6784509864312815,0.018104272104409763,0.31393270839764104,0.08825945770789533,0.06727777240559166,0.23320503940936388
30,0.4934016225601522,0.0,0.061800399655581366,0.6036318393131588,0.0,0.23176677230577844
53,0.6661619717118111,0.1355617423290018,0.061800399655581366,0.29095525123368055,0.0,0.23089587298601497
IMG_20260318_075807376_HDR,0.6685567202217566,0.07577119676140202,0.0,0.39684848790546,0.0,0.22823528097772372
1,0.574291018381569,0.20636861526619124,0.06485670885253358,0.28587264794422246,0.0,0.22627779808890325
65,0.6417156018263109,0.018104272104409763,0.12665507773788443,0.21637422878249088,0.12480620105395888,0.22553107630101094
DSC02380,0.39018984021471675,0.018104272104409763,0.25176677010056375,0.38501722987612375,0.06870905086706017,0.2227574326325749
IMG_20260320_155443,0.7834907719852839,0.05995044338282908,0.0,0.12259158124331765,0.1296706266438089,0.2191406846510479
DSC02466,0.6266309369489507,0.0,0.2487104609036115,0.21719044114443978,0.0,0.2185063677994004
22,0.8301847295225395,0.0,0.0,0.2519986885576656,0.0,0.21643668361604104
Маяковского 22 24,0.58770100081568,0.07803270905293203,0.24832867610027132,0.16774119342780916,0.0,0.2163607158793385
IMG_20260320_153217,0.6499739388544603,0.1389345795530259,0.0,0.22744964970886133,0.048383615928112036,0.21294835680889196
8,0.8213921390108272,0.0,0.061800399655581366,0.17977726879141723,0.0,0.21259396149156515
улица Жуковского 49,0.5434833597893447,0.05995044338282908,0.061800399655581366,0.10713818979688693,0.2898867208738035,0.21245182269968912
62,0.7633815520935223,0.21523229196076862,0.06485670885253358,0.009447963787072512,0.0,0.2105837033387794
10,0.5654483363173909,0.0814167836051128,0.1884493850827742,0.19755740044005157,0.006298906016556722,0.20783416229237725
4,0.6756189522065668,0.0,0.3213125274153981,0.03352813907402694,0.0,0.20609192373919835
IMG_20260317_113415094_HDR,0.7546860985788214,0.06786175651612861,0.0,0.06356597678380231,0.1436901112426763,0.2059607886242857
81,0.9447417408168307,0.0814167836051128,0.0,0.0,0.0,0.20523170488438872
DSC02178,0.23447331101777236,0.10963886504858505,0.12550769255763325,0.5536499136786646,0.0,0.20465395646053103
37,0.5803016662210324,0.0,0.19188747908306664,0.24365467491744255,0.0,0.20316876404430834
58,0.6777969193695234,0.018104272104409763,0.0,0.19239149457807248,0.12480620105395888,0.20261977742119291
DSC02250,0.15025671920638736,0.018104272104409763,0.8035676571410004,0.03951178578552415,0.0,0.2022880868474643
56,0.801246365824023,0.17041665671694903,0.0,0.03352813907402694,0.0,0.20103823232299978
31,0.6018413722377725,0.0,0.0,0.3963872667814561,0.0,0.1996457278038457
