building_name,coating_deterioration_score,cracks_score,masonry_degradation_score,moisture_bio_damage_score,vandalism_score,Global_Damage_Index
DSC02210,0.6922689493094433,0.27948151949533784,0.8359563309102438,0.44063164565669516,0.01935794374456294,0.45353927782325654
9,0.7794119547011158,0.08645009198127906,0.525480638839973,0.3880485388153918,0.39457089522183203,0.4347924239119183
IMG_20260320_154256,0.17577239865451996,0.018654772832015488,1.0,0.9367209076658953,0.0,0.4262296158304862
32,0.9876094056907422,0.018654772832015488,0.15835965880658703,0.9358877536235066,0.0,0.4201023181905702
DSC02223,0.4317070100911004,1.0,0.0516450396696551,0.5366785364589965,0.06326471227889294,0.416659059699729
IMG_20260317_113335801_HDR,0.744440684309387,0.0,0.9895334756882503,0.2426637072683817,0.03777195363598286,0.4028819641804004
DSC02200,0.6764012951349918,0.8297201219851542,0.0,0.4709958477680839,0.0,0.395423452977646
14,0.5549790555383525,0.018654772832015488,0.5722457570467594,0.805954508398866,0.0,0.3903668187631987
49,0.7769282512051765,0.7456184827359102,0.0,0.4004309568867481,0.0,0.38459553816556696
27,0.5928764241337878,0.0,0.0,0.3229556807421035,1.0,0.3831664209751783
41,0.9212116488798849,0.0,0.0,0.8670389332115619,0.10715788816573767,0.3790816940514369
DSC02476,0.8738124838243574,0.17261550748199037,0.26774056771344645,0.5675659754086004,0.0,0.3763469068856789
DSC02312,0.7263877294753236,0.0,0.4663867953718099,0.6753384939853376,0.0,0.37362260376649425
39,0.8993050881434468,0.0,0.0,0.9447831457730513,0.0,0.36881764678329965
DSC02216,0.37097869878859285,0.0,0.3159400581388686,1.0,0.14583954232045623,0.36655165984958354
82,0.8428171394920734,0.0,0.4763490929648913,0.47004377626246435,0.0,0.3578420017438858
69,0.8233611495344124,0.018654772832015488,0.2664551715707808,0.575178156654914,0.0,0.3367298501184245
DSC02259,0.8323232369539405,0.07120528174892919,0.5388655662809841,0.18989801638353335,0.01935794374456294,0.33033000902239007
24,1.0,0.22428634042741993,0.0,0.41280020256217737,0.0,0.32741730859791945
DSC02380,0.34284297884382237,0.10506819027570789,0.3675602684625287,0.7342238604779824,0.06326471227889294,0.3225920020677869
DSC02368,0.33569818970335175,0.0,0.47806231783854813,0.7881392088073567,0.0,0.3203799432698513
DSC02178,0.37917289902106366,0.23144967266051714,0.31283066004041454,0.6758884415152939,0.0,0.31986833464745784
36,0.5953203266927588,0.018654772832015488,0.0,0.9613423110529574,0.01935794374456294,0.31893507086445894
IMG_20260320_154755,0.6166709246028554,0.06273295063581594,0.21385515705516317,0.5774064869659142,0.10102357669877887,0.31433781919170556
IMG_20260317_130539386_HDR,0.6356465943526013,0.044089462276904044,0.5839155496644218,0.2797374156051911,0.01935794374456294,0.31254939312873625
63,0.5806179439294402,0.12367064418697038,0.15835965880658703,0.6925390817669159,0.0,0.31103746573798274
70,0.5092238150469214,0.0,0.0,0.7697622528895114,0.2638569489641396,0.30856860338011444
IMG_20260317_130518147_HDR,0.665101371527785,0.0,0.0,0.8175674390081479,0.057127883654992426,0.30795933883818505
DSC02185,0.3453375181969467,0.05425933719621365,0.0,0.9599507937832146,0.17836976834101234,0.3075834835034775
12,0.5142762418413289,0.0,0.05893340769404134,0.9620843560235172,0.0,0.3070588011117775
DSC02399,0.25535510145904816,0.41161705730178505,0.6303502465745052,0.2042083609587748,0.0,0.30030615325882265
IMG_20260318_080042286_HDR,0.7838329844326241,0.06103976673968234,0.5773854316677298,0.0,0.06940154090279343,0.29833194474856595
61,0.5941100447979342,0.08645009198127906,0.0,0.32469699830368814,0.4800530415310758,0.2970620353227954
38,0.802494205942134,0.0,0.0,0.6805789121650003,0.0,0.2966146236214269
30,0.4394815292395187,0.0,0.05507530931635261,0.9434205345943707,0.01935794374456294,0.291467063378961
DSC02416,0.5723089252871815,0.018654772832015488,0.3640249515827753,0.4728165656051179,0.01935794374456294,0.28943263181033063
DSC02297,0.4472372940197321,0.13887929281232922,0.7956735819578512,0.03954828927166896,0.01935794374456294,0.28813928036122893
1,0.5126952486016535,0.1625082100953461,0.11057653741400451,0.6513339978075279,0.0,0.2874227987837064
67,0.5000393841732304,0.27948151949533784,0.0516450396696551,0.5909272195853037,0.0,0.2844186325847054
28,0.7003356198381206,0.0,0.0,0.7207144707550857,0.0,0.28421001811864127
77,0.9469178446146415,0.0,0.0,0.3833342846730392,0.08686658262718691,0.2834237423829735
DSC02404,0.6348109830581373,0.13887929281232922,0.421317712491453,0.13966435271578215,0.06326471227889294,0.2795874106713189
DSC02314,0.1495356626814329,0.0,0.2664551715707808,0.7664259777210877,0.2059628427360892,0.2776759309418781
IMG_20260320_155443,0.7169997095156747,0.13380923033994732,0.0,0.39563766836883296,0.1387658278828495,0.27704248722146085
29,0.7438703431340883,0.4062620618835376,0.0,0.21047476242120347,0.01935794374456294,0.2759930222366785
78,0.7162214032351701,0.0,0.11154297195811862,0.5483800148408994,0.0,0.2752288780068376
IMG_20260320_153217,0.6591433171309484,0.140566834471911,0.0,0.5003819994818858,0.057127883654992426,0.2714440069479475
66,0.7562294717811356,0.0,0.10800574512867331,0.4507136511393391,0.01935794374456294,0.26686136235874225
42,0.5839922715332446,0.0,0.0,0.7494299279762663,0.0,0.26668443990190216
IMG_20260317_113448622_HDR,0.7373663282406194,0.0,0.1592172262182614,0.36025844240808963,0.057127883654992426,0.2627939761043926
15,0.5766168036638534,0.0,0.11057653741400451,0.6238347918102823,0.0,0.2622056265776281
IMG_20260320_153530,0.7984195068768101,0.044089462276904044,0.21085462608914882,0.13479934782004166,0.11942550423687856,0.26151768945995657
DSC02174,0.38579589996169944,0.052565383904186615,0.0,0.8670389332115619,0.0,0.26108004341548957
DSC02207,0.37847377785075775,0.018654772832015488,0.36445278031376654,0.3087009529496654,0.2240637183039598,0.258869200450033
23,0.7017876247009199,0.08645009198127906,0.0,0.5060929649160553,0.0,0.25886613631965083
21,0.7222492655581029,0.10506819027570789,0.05507530931635261,0.41107095969685925,0.0,0.25869274496940453
58,0.6265565604655418,0.0,0.0,0.5887665807533732,0.06845811048103877,0.2567562503399907
DSC02309,0.45916048779694935,0.052565383904186615,0.0516450396696551,0.6625974940248548,0.04390978912266005,0.2539756389036612
65,0.49750150139136573,0.018654772832015488,0.0516450396696551,0.5456946755712063,0.14301227164352226,0.25130165222155293
DSC02315,0.23825903616717395,0.018654772832015488,0.5223750606409027,0.471763505730724,0.0,0.2502104750741633
3,0.9341040267295591,0.0,0.0,0.311717797516857,0.0,0.24916436484928323
улица Жуковского 49,0.5462243080784233,0.24318090831288663,0.0,0.27656396588642174,0.16234504381866804,0.2456628452192799
IMG_20260319_121325656_HDR,0.2634615729246937,0.0,0.7824147111965071,0.14958206914922423,0.01935794374456294,0.24296325940299762
IMG_20260320_160147,0.34421788241511253,0.018654772832015488,0.15621669525224705,0.6660358552617136,0.01935794374456294,0.24089662990113037
31,0.48956381923956455,0.08645009198127906,0.0,0.6238347918102823,0.0,0.2399697406062252
8,0.7602001882938568,0.0,0.0516450396696551,0.3828121455344846,0.0,0.23893147469959927
2,0.5928764241337878,0.0,0.2182518612459748,0.38185239013124095,0.0,0.2385961351022007
10,0.5766168036638534,0.10506819027570789,0.10671843903631578,0.4004309568867481,0.0,0.23776687797252505
IMG_20260320_154600,0.7224463948061236,0.0,0.10457547548197581,0.31847121172870135,0.03777195363598286,0.23665300713055673
64,0.5944074057249168,0.18104449595977393,0.0516450396696551,0.3460970190868017,0.0,0.2346387920882295
2026-04-02 17-25-18,0.7918454756753761,0.0,0.0,0.3743382700546069,0.0,0.23323674914599662
DSC02449,0.36445717981813264,0.018654772832015488,0.3300832356075741,0.43132827513329736,0.01935794374456294,0.2327762814271165
IMG_20260318_131235096_HDR,0.5009548057234998,0.018654772832015488,0.0,0.6347623919314684,0.0,0.23087439409739674
34,0.585529087816704,0.0,0.0,0.5445025737398042,0.0,0.2260063323113016
37,0.5293768423561988,0.0,0.16221775718427578,0.4243849588801707,0.0,0.22319591168412903
IMG_20260317_130000355_HDR,0.6181854440263378,0.018654772832015488,0.31411605618308014,0.11008427406194246,0.03777195363598286,0.21976250014787174
4,0.6286720531990576,0.0,0.21482159159927727,0.24531648144814394,0.0,0.21776202524929578
DSC02369,0.0,0.0,0.9455549740819826,0.12311909163157687,0.01935794374456294,0.21760640189162453
DSC02466,0.5024211889352562,0.0,0.15664452398323828,0.413757396666213,0.0,0.21456462191694148
IMG_20260318_115219,0.2231144670779569,0.30778015692085714,0.3206538139785398,0.10017497332589825,0.11848257724651223,0.21404119770995286
57,0.5815362828258749,0.0,0.05507530931635261,0.29977702060894523,0.12367295486032799,0.21201231352230013
DSC02432,0.3375261154577254,0.018654772832015488,0.0516450396696551,0.47021062661087426,0.1816712713857654,0.2119415651912071
2026-04-02 17-26-12,0.2520620427841318,0.1810383407926265,0.20913949126580006,0.36025844240808963,0.057127883654992426,0.2119252401811281
35,0.7593627015625722,0.0,0.0,0.2980331417481526,0.0,0.21147916866214497
56,0.6740505392714387,0.18104449595977393,0.0,0.1270982529012202,0.06845811048103877,0.21013027972269432
22,0.7874190280152752,0.018654772832015488,0.0,0.24002922808296268,0.0,0.20922060578605067
7,0.5692182054070094,0.27281393468290505,0.0,0.19794049589679866,0.0,0.20799452719734263
2026-04-02 17-25-39,0.41047831557433584,0.0,0.05464557063566946,0.5744840445695334,0.0,0.20792158615590775
17,0.4394815292395187,0.0,0.0,0.5795521239024833,0.01935794374456294,0.20767831937731301
53,0.6008157733405406,0.0,0.0,0.4120285197007817,0.01935794374456294,0.20644044735717704
33,0.199332261139157,0.12367064418697038,0.0,0.6001643622291792,0.06845811048103877,0.19832507560726909
